LOG FOR MACHINE 0 WITH CLOCK SPEED 1
2 - 1678207051.3869262: Received message: 1. Queue length: 0.
3 - 1678207052.3920882: Received message: 1. Queue length: 2.
7 - 1678207053.395075: Received message: 6. Queue length: 4.
8 - 1678207054.39585: Received message: 7. Queue length: 7.
9 - 1678207055.3964632: Received message: 8. Queue length: 8.
10 - 1678207056.4017012: Received message: 9. Queue length: 12.
11 - 1678207057.404533: Received message: 10. Queue length: 14.
15 - 1678207058.409489: Received message: 14. Queue length: 15.
17 - 1678207059.414484: Received message: 16. Queue length: 20.
18 - 1678207060.416856: Received message: 17. Queue length: 23.
19 - 1678207061.42189: Received message: 18. Queue length: 26.
23 - 1678207062.427041: Received message: 22. Queue length: 29.
24 - 1678207063.43139: Received message: 23. Queue length: 32.
28 - 1678207064.4331598: Received message: 27. Queue length: 34.
29 - 1678207065.438041: Received message: 28. Queue length: 35.
30 - 1678207066.4430678: Received message: 29. Queue length: 38.
31 - 1678207067.4467819: Received message: 30. Queue length: 43.
32 - 1678207068.451808: Received message: 31. Queue length: 45.
33 - 1678207069.456932: Received message: 32. Queue length: 49.
34 - 1678207070.458648: Received message: 33. Queue length: 52.
37 - 1678207071.462806: Received message: 36. Queue length: 57.
40 - 1678207072.465855: Received message: 39. Queue length: 59.
44 - 1678207073.470947: Received message: 43. Queue length: 61.
45 - 1678207074.474653: Received message: 44. Queue length: 64.
46 - 1678207075.479689: Received message: 45. Queue length: 67.
47 - 1678207076.4846342: Received message: 46. Queue length: 70.
48 - 1678207077.4880571: Received message: 47. Queue length: 72.
49 - 1678207078.49053: Received message: 48. Queue length: 74.
50 - 1678207079.4931571: Received message: 49. Queue length: 77.
51 - 1678207080.4968: Received message: 50. Queue length: 81.
53 - 1678207081.4999292: Received message: 52. Queue length: 84.
55 - 1678207082.504769: Received message: 54. Queue length: 87.
56 - 1678207083.5098372: Received message: 55. Queue length: 88.
57 - 1678207084.512933: Received message: 56. Queue length: 90.
58 - 1678207085.516663: Received message: 57. Queue length: 95.
61 - 1678207086.517214: Received message: 60. Queue length: 98.
62 - 1678207087.52223: Received message: 61. Queue length: 101.
63 - 1678207088.5273228: Received message: 62. Queue length: 103.
64 - 1678207089.5287302: Received message: 63. Queue length: 105.
66 - 1678207090.5291882: Received message: 65. Queue length: 109.
67 - 1678207091.5296042: Received message: 66. Queue length: 114.
68 - 1678207092.531251: Received message: 67. Queue length: 117.
69 - 1678207093.536246: Received message: 68. Queue length: 120.
72 - 1678207094.5413299: Received message: 71. Queue length: 122.
73 - 1678207095.542128: Received message: 72. Queue length: 123.
75 - 1678207096.546061: Received message: 74. Queue length: 127.
76 - 1678207097.551061: Received message: 75. Queue length: 130.
77 - 1678207098.5528362: Received message: 76. Queue length: 132.
81 - 1678207099.557478: Received message: 80. Queue length: 134.
85 - 1678207100.561322: Received message: 84. Queue length: 137.
86 - 1678207101.563963: Received message: 85. Queue length: 139.
87 - 1678207102.569071: Received message: 86. Queue length: 143.
90 - 1678207103.57164: Received message: 89. Queue length: 147.
91 - 1678207104.5725691: Received message: 90. Queue length: 149.
92 - 1678207105.573316: Received message: 91. Queue length: 150.
93 - 1678207106.578379: Received message: 92. Queue length: 154.
94 - 1678207107.5835478: Received message: 93. Queue length: 159.
95 - 1678207108.584935: Received message: 94. Queue length: 162.
96 - 1678207109.589619: Received message: 95. Queue length: 165.
97 - 1678207110.59471: Received message: 96. Queue length: 167.
98 - 1678207111.597975: Received message: 97. Queue length: 171.
101 - 1678207112.600505: Received message: 100. Queue length: 176.
103 - 1678207113.600682: Received message: 102. Queue length: 178.
104 - 1678207114.601789: Received message: 103. Queue length: 180.
105 - 1678207115.604664: Received message: 104. Queue length: 184.
106 - 1678207116.6097229: Received message: 105. Queue length: 185.
107 - 1678207117.614772: Received message: 106. Queue length: 189.
108 - 1678207118.619797: Received message: 107. Queue length: 192.
110 - 1678207119.6211011: Received message: 109. Queue length: 196.
