LOG FOR MACHINE 1 WITH CLOCK SPEED 3
242 - 1678207105.9844348: Received message: 241. Queue length: 57.
244 - 1678207106.3206642: Received message: 243. Queue length: 57.
246 - 1678207106.658707: Received message: 245. Queue length: 57.
247 - 1678207106.997142: Received message: 246. Queue length: 58.
249 - 1678207107.3337579: Received message: 248. Queue length: 58.
250 - 1678207107.671874: Received message: 249. Queue length: 59.
252 - 1678207108.0102882: Received message: 251. Queue length: 60.
255 - 1678207108.345988: Received message: 254. Queue length: 59.
257 - 1678207108.68304: Received message: 256. Queue length: 59.
258 - 1678207109.01901: Received message: 257. Queue length: 60.
259 - 1678207109.354261: Received message: 258. Queue length: 60.
260 - 1678207109.690818: Received message: 259. Queue length: 60.
262 - 1678207110.026231: Received message: 261. Queue length: 61.
263 - 1678207110.361994: Received message: 262. Queue length: 61.
264 - 1678207110.698464: Received message: 263. Queue length: 61.
265 - 1678207111.0368881: Received message: 264. Queue length: 61.
266 - 1678207111.375268: Received message: 265. Queue length: 62.
268 - 1678207111.712489: Received message: 267. Queue length: 61.
269 - 1678207112.047141: Received message: 268. Queue length: 61.
270 - 1678207112.380996: Received message: 269. Queue length: 60.
271 - 1678207112.718008: Received message: 270. Queue length: 61.
272 - 1678207113.0564868: Received message: 271. Queue length: 61.
273 - 1678207113.392944: Received message: 272. Queue length: 62.
274 - 1678207113.731292: Received message: 273. Queue length: 62.
275 - 1678207114.066442: Received message: 274. Queue length: 62.
277 - 1678207114.404696: Received message: 276. Queue length: 63.
278 - 1678207114.739746: Received message: 277. Queue length: 63.
279 - 1678207115.073899: Received message: 278. Queue length: 63.
280 - 1678207115.412375: Received message: 279. Queue length: 63.
283 - 1678207115.750752: Received message: 282. Queue length: 63.
284 - 1678207116.088091: Received message: 283. Queue length: 64.
285 - 1678207116.4255512: Received message: 284. Queue length: 65.
286 - 1678207116.764214: Received message: 285. Queue length: 66.
287 - 1678207117.101484: Received message: 286. Queue length: 66.
288 - 1678207117.4399831: Received message: 287. Queue length: 67.
289 - 1678207117.774507: Received message: 288. Queue length: 66.
292 - 1678207118.11329: Received message: 291. Queue length: 66.
293 - 1678207118.447606: Received message: 292. Queue length: 67.
294 - 1678207118.7859142: Received message: 293. Queue length: 68.
295 - 1678207119.1197371: Received message: 294. Queue length: 68.
296 - 1678207119.458134: Received message: 295. Queue length: 67.
297 - 1678207119.79651: Received message: 296. Queue length: 68.
298 - 1678207120.13495: Received message: 297. Queue length: 69.
