LOG FOR MACHINE 1 WITH CLOCK SPEED 3
1 - 1678207051.112601: Sent one message to machine 0.
2 - 1678207051.451008: Sent one message to machine 2.
5 - 1678207051.789289: Received message: 4. Queue length: 0.
6 - 1678207052.127672: Received message: 5. Queue length: 1.
7 - 1678207052.466078: Received message: 6. Queue length: 1.
9 - 1678207052.800726: Received message: 8. Queue length: 1.
11 - 1678207053.1391208: Received message: 10. Queue length: 2.
12 - 1678207053.473686: Received message: 11. Queue length: 2.
13 - 1678207053.8107588: Received message: 12. Queue length: 2.
14 - 1678207054.149183: Received message: 13. Queue length: 1.
16 - 1678207054.485117: Received message: 15. Queue length: 2.
20 - 1678207054.823505: Received message: 19. Queue length: 3.
21 - 1678207055.1585972: Received message: 20. Queue length: 4.
22 - 1678207055.4970062: Received message: 21. Queue length: 5.
23 - 1678207055.832685: Received message: 22. Queue length: 4.
24 - 1678207056.171034: Received message: 23. Queue length: 5.
25 - 1678207056.509419: Received message: 24. Queue length: 4.
26 - 1678207056.8478131: Received message: 25. Queue length: 5.
27 - 1678207057.183716: Received message: 26. Queue length: 5.
30 - 1678207057.517513: Received message: 29. Queue length: 6.
31 - 1678207057.851321: Received message: 30. Queue length: 6.
34 - 1678207058.188164: Received message: 33. Queue length: 7.
35 - 1678207058.52527: Received message: 34. Queue length: 6.
36 - 1678207058.86362: Received message: 35. Queue length: 7.
38 - 1678207059.20135: Received message: 37. Queue length: 8.
39 - 1678207059.539832: Received message: 38. Queue length: 8.
41 - 1678207059.878272: Received message: 40. Queue length: 8.
42 - 1678207060.2125702: Received message: 41. Queue length: 8.
43 - 1678207060.5474901: Received message: 42. Queue length: 9.
46 - 1678207060.8833861: Received message: 45. Queue length: 9.
47 - 1678207061.2218041: Received message: 46. Queue length: 10.
48 - 1678207061.5600882: Received message: 47. Queue length: 11.
49 - 1678207061.896505: Received message: 48. Queue length: 10.
51 - 1678207062.234773: Received message: 50. Queue length: 11.
52 - 1678207062.57215: Received message: 51. Queue length: 11.
54 - 1678207062.909066: Received message: 53. Queue length: 11.
55 - 1678207063.242792: Received message: 54. Queue length: 11.
56 - 1678207063.580394: Received message: 55. Queue length: 11.
58 - 1678207063.915404: Received message: 57. Queue length: 12.
59 - 1678207064.251405: Received message: 58. Queue length: 13.
60 - 1678207064.5897548: Received message: 59. Queue length: 14.
61 - 1678207064.930989: Received message: 60. Queue length: 15.
62 - 1678207065.2680142: Received message: 61. Queue length: 16.
65 - 1678207065.607104: Received message: 64. Queue length: 16.
66 - 1678207065.941236: Received message: 65. Queue length: 17.
67 - 1678207066.276232: Received message: 66. Queue length: 18.
70 - 1678207066.6146991: Received message: 69. Queue length: 18.
71 - 1678207066.9495082: Received message: 70. Queue length: 18.
74 - 1678207067.283228: Received message: 73. Queue length: 17.
75 - 1678207067.6216881: Received message: 74. Queue length: 17.
76 - 1678207067.958836: Received message: 75. Queue length: 18.
77 - 1678207068.293741: Received message: 76. Queue length: 18.
78 - 1678207068.632067: Received message: 77. Queue length: 18.
79 - 1678207068.968823: Received message: 78. Queue length: 19.
80 - 1678207069.3048801: Received message: 79. Queue length: 19.
81 - 1678207069.638252: Received message: 80. Queue length: 20.
82 - 1678207069.9721851: Received message: 81. Queue length: 21.
83 - 1678207070.305635: Received message: 82. Queue length: 21.
84 - 1678207070.64407: Received message: 83. Queue length: 20.
86 - 1678207070.978991: Received message: 85. Queue length: 20.
87 - 1678207071.313656: Received message: 86. Queue length: 20.
88 - 1678207071.648882: Received message: 87. Queue length: 21.
89 - 1678207071.9845738: Received message: 88. Queue length: 22.
90 - 1678207072.322241: Received message: 89. Queue length: 23.
92 - 1678207072.656356: Received message: 91. Queue length: 23.
93 - 1678207072.9897978: Received message: 92. Queue length: 24.
97 - 1678207073.328062: Received message: 96. Queue length: 24.
99 - 1678207073.66481: Received message: 98. Queue length: 25.
100 - 1678207074.0031202: Received message: 99. Queue length: 26.
102 - 1678207074.341526: Received message: 101. Queue length: 26.
104 - 1678207074.674997: Received message: 103. Queue length: 25.
105 - 1678207075.011901: Received message: 104. Queue length: 25.
106 - 1678207075.3488488: Received message: 105. Queue length: 26.
107 - 1678207075.687291: Received message: 106. Queue length: 25.
109 - 1678207076.024917: Received message: 108. Queue length: 26.
110 - 1678207076.3632908: Received message: 109. Queue length: 27.
111 - 1678207076.706657: Received message: 110. Queue length: 27.
112 - 1678207077.0414872: Received message: 111. Queue length: 28.
114 - 1678207077.3768802: Received message: 113. Queue length: 29.
117 - 1678207077.711044: Received message: 116. Queue length: 30.
119 - 1678207078.046885: Received message: 118. Queue length: 31.
121 - 1678207078.380359: Received message: 120. Queue length: 31.
122 - 1678207078.718731: Received message: 121. Queue length: 31.
123 - 1678207079.05715: Received message: 122. Queue length: 31.
124 - 1678207079.394498: Received message: 123. Queue length: 31.
125 - 1678207079.731456: Received message: 124. Queue length: 31.
126 - 1678207080.0672069: Received message: 125. Queue length: 31.
127 - 1678207080.403944: Received message: 126. Queue length: 30.
129 - 1678207080.7422879: Received message: 128. Queue length: 30.
130 - 1678207081.080729: Received message: 129. Queue length: 31.
132 - 1678207081.414185: Received message: 131. Queue length: 31.
133 - 1678207081.752577: Received message: 132. Queue length: 31.
134 - 1678207082.090966: Received message: 133. Queue length: 32.
135 - 1678207082.42934: Received message: 134. Queue length: 33.
136 - 1678207082.765981: Received message: 135. Queue length: 33.
137 - 1678207083.104436: Received message: 136. Queue length: 34.
141 - 1678207083.4397051: Received message: 140. Queue length: 35.
142 - 1678207083.775142: Received message: 141. Queue length: 36.
143 - 1678207084.109503: Received message: 142. Queue length: 36.
146 - 1678207084.443649: Received message: 145. Queue length: 36.
147 - 1678207084.782133: Received message: 146. Queue length: 35.
148 - 1678207085.116784: Received message: 147. Queue length: 35.
149 - 1678207085.450613: Received message: 148. Queue length: 35.
150 - 1678207085.789058: Received message: 149. Queue length: 35.
152 - 1678207086.127486: Received message: 151. Queue length: 36.
153 - 1678207086.463375: Received message: 152. Queue length: 36.
154 - 1678207086.8018298: Received message: 153. Queue length: 37.
155 - 1678207087.140172: Received message: 154. Queue length: 37.
156 - 1678207087.474182: Received message: 155. Queue length: 37.
157 - 1678207087.807698: Received message: 156. Queue length: 37.
158 - 1678207088.1428192: Received message: 157. Queue length: 38.
159 - 1678207088.481233: Received message: 158. Queue length: 38.
161 - 1678207088.8195531: Received message: 160. Queue length: 38.
162 - 1678207089.156488: Received message: 161. Queue length: 39.
164 - 1678207089.494864: Received message: 163. Queue length: 40.
166 - 1678207089.833316: Received message: 165. Queue length: 40.
168 - 1678207090.171106: Received message: 167. Queue length: 41.
170 - 1678207090.509481: Received message: 169. Queue length: 42.
175 - 1678207090.847866: Received message: 174. Queue length: 41.
176 - 1678207091.186235: Received message: 175. Queue length: 41.
177 - 1678207091.5205948: Received message: 176. Queue length: 40.
179 - 1678207091.85906: Received message: 178. Queue length: 41.
181 - 1678207092.1974862: Received message: 180. Queue length: 41.
182 - 1678207092.531488: Received message: 181. Queue length: 41.
183 - 1678207092.869845: Received message: 182. Queue length: 42.
184 - 1678207093.20492: Received message: 183. Queue length: 42.
185 - 1678207093.543351: Received message: 184. Queue length: 42.
186 - 1678207093.879987: Received message: 185. Queue length: 42.
188 - 1678207094.218282: Received message: 187. Queue length: 42.
189 - 1678207094.556751: Received message: 188. Queue length: 42.
190 - 1678207094.891087: Received message: 189. Queue length: 43.
191 - 1678207095.224581: Received message: 190. Queue length: 43.
192 - 1678207095.560362: Received message: 191. Queue length: 43.
193 - 1678207095.897582: Received message: 192. Queue length: 44.
195 - 1678207096.235347: Received message: 194. Queue length: 45.
197 - 1678207096.5693629: Received message: 196. Queue length: 45.
200 - 1678207096.9062579: Received message: 199. Queue length: 46.
203 - 1678207097.240701: Received message: 202. Queue length: 47.
205 - 1678207097.578848: Received message: 204. Queue length: 48.
206 - 1678207097.9147499: Received message: 205. Queue length: 48.
207 - 1678207098.249554: Received message: 206. Queue length: 49.
209 - 1678207098.585479: Received message: 208. Queue length: 50.
210 - 1678207098.922594: Received message: 209. Queue length: 49.
211 - 1678207099.26099: Received message: 210. Queue length: 50.
213 - 1678207099.5953531: Received message: 212. Queue length: 51.
214 - 1678207099.929864: Received message: 213. Queue length: 52.
217 - 1678207100.2647731: Received message: 216. Queue length: 52.
218 - 1678207100.603116: Received message: 217. Queue length: 52.
219 - 1678207100.936788: Received message: 218. Queue length: 53.
221 - 1678207101.27514: Received message: 220. Queue length: 54.
223 - 1678207101.612279: Received message: 222. Queue length: 55.
224 - 1678207101.950785: Received message: 223. Queue length: 55.
225 - 1678207102.287385: Received message: 224. Queue length: 54.
226 - 1678207102.6243021: Received message: 225. Queue length: 55.
227 - 1678207102.960695: Received message: 226. Queue length: 54.
229 - 1678207103.2990851: Received message: 228. Queue length: 53.
230 - 1678207103.632459: Received message: 229. Queue length: 53.
231 - 1678207103.970892: Received message: 230. Queue length: 53.
232 - 1678207104.304752: Received message: 231. Queue length: 53.
233 - 1678207104.639446: Received message: 232. Queue length: 54.
237 - 1678207104.973747: Received message: 236. Queue length: 55.
240 - 1678207105.312146: Received message: 239. Queue length: 56.
241 - 1678207105.650562: Received message: 240. Queue length: 57.
