LOG FOR MACHINE 2 WITH CLOCK SPEED 3
2 - 1678148709.0629828: Received message: 1. Queue length: 0.
4 - 1678148709.4030569: Received message: 3. Queue length: 0.
5 - 1678148709.740198: Received message: 4. Queue length: 1.
6 - 1678148710.0785978: Received message: 5. Queue length: 2.
7 - 1678148710.416963: Received message: 6. Queue length: 3.
8 - 1678148710.755506: Received message: 7. Queue length: 3.
9 - 1678148711.091053: Received message: 8. Queue length: 3.
10 - 1678148711.427685: Received message: 9. Queue length: 4.
12 - 1678148711.7660658: Received message: 11. Queue length: 5.
13 - 1678148712.104457: Received message: 12. Queue length: 6.
15 - 1678148712.442872: Received message: 14. Queue length: 6.
16 - 1678148712.779377: Received message: 15. Queue length: 5.
17 - 1678148713.113323: Received message: 16. Queue length: 4.
18 - 1678148713.447586: Received message: 17. Queue length: 5.
19 - 1678148713.783354: Received message: 18. Queue length: 6.
20 - 1678148714.1208398: Received message: 19. Queue length: 7.
22 - 1678148714.459244: Received message: 21. Queue length: 7.
27 - 1678148714.795861: Received message: 26. Queue length: 8.
28 - 1678148715.134272: Received message: 27. Queue length: 9.
29 - 1678148715.467817: Received message: 28. Queue length: 10.
30 - 1678148715.8038359: Received message: 29. Queue length: 11.
31 - 1678148716.142087: Received message: 30. Queue length: 10.
32 - 1678148716.4776819: Received message: 31. Queue length: 11.
34 - 1678148716.814535: Received message: 33. Queue length: 12.
35 - 1678148717.15093: Received message: 34. Queue length: 13.
36 - 1678148717.487539: Received message: 35. Queue length: 14.
37 - 1678148717.824438: Received message: 36. Queue length: 14.
38 - 1678148718.1610181: Received message: 37. Queue length: 14.
39 - 1678148718.494781: Received message: 38. Queue length: 14.
40 - 1678148718.83325: Received message: 39. Queue length: 13.
41 - 1678148719.1708539: Received message: 40. Queue length: 13.
42 - 1678148719.50694: Received message: 41. Queue length: 13.
45 - 1678148719.84432: Received message: 44. Queue length: 14.
46 - 1678148720.179163: Received message: 45. Queue length: 14.
47 - 1678148720.517546: Received message: 46. Queue length: 15.
48 - 1678148720.8549728: Received message: 47. Queue length: 14.
49 - 1678148721.193357: Received message: 48. Queue length: 14.
50 - 1678148721.527636: Received message: 49. Queue length: 14.
51 - 1678148721.862692: Received message: 50. Queue length: 14.
52 - 1678148722.200994: Received message: 51. Queue length: 14.
53 - 1678148722.536052: Received message: 52. Queue length: 13.
55 - 1678148722.870998: Received message: 54. Queue length: 12.
58 - 1678148723.209474: Received message: 57. Queue length: 13.
62 - 1678148723.5458791: Received message: 61. Queue length: 14.
63 - 1678148723.883013: Received message: 62. Queue length: 14.
65 - 1678148724.219338: Received message: 64. Queue length: 15.
66 - 1678148724.5547662: Received message: 65. Queue length: 15.
67 - 1678148724.889916: Received message: 66. Queue length: 16.
69 - 1678148725.227684: Received message: 68. Queue length: 16.
70 - 1678148725.5661461: Received message: 69. Queue length: 16.
74 - 1678148725.9041972: Received message: 73. Queue length: 15.
75 - 1678148726.2425652: Received message: 74. Queue length: 16.
77 - 1678148726.579241: Received message: 76. Queue length: 17.
79 - 1678148726.9149911: Received message: 78. Queue length: 16.
84 - 1678148727.252629: Received message: 83. Queue length: 17.
85 - 1678148727.586668: Received message: 84. Queue length: 17.
86 - 1678148727.925077: Received message: 85. Queue length: 17.
87 - 1678148728.262578: Received message: 86. Queue length: 18.
88 - 1678148728.600908: Received message: 87. Queue length: 19.
90 - 1678148728.9360168: Received message: 89. Queue length: 20.
91 - 1678148729.271508: Received message: 90. Queue length: 20.
93 - 1678148729.6051881: Received message: 92. Queue length: 20.
94 - 1678148729.9413528: Received message: 93. Queue length: 21.
95 - 1678148730.2791219: Received message: 94. Queue length: 20.
96 - 1678148730.6153789: Received message: 95. Queue length: 21.
98 - 1678148730.9527638: Received message: 97. Queue length: 22.
102 - 1678148731.288609: Received message: 101. Queue length: 22.
103 - 1678148731.627035: Received message: 102. Queue length: 23.
104 - 1678148731.960862: Received message: 103. Queue length: 23.
105 - 1678148732.2958689: Received message: 104. Queue length: 24.
108 - 1678148732.634261: Received message: 107. Queue length: 25.
