LOG FOR MACHINE 2 WITH CLOCK SPEED 3
109 - 1678148732.972667: Received message: 108. Queue length: 25.
110 - 1678148733.311008: Received message: 109. Queue length: 26.
112 - 1678148733.648586: Received message: 111. Queue length: 26.
114 - 1678148733.985861: Received message: 113. Queue length: 27.
115 - 1678148734.319414: Received message: 114. Queue length: 27.
116 - 1678148734.654314: Received message: 115. Queue length: 27.
117 - 1678148734.98777: Received message: 116. Queue length: 27.
118 - 1678148735.3261728: Received message: 117. Queue length: 28.
119 - 1678148735.6609862: Received message: 118. Queue length: 29.
120 - 1678148735.999378: Received message: 119. Queue length: 30.
123 - 1678148736.336064: Received message: 122. Queue length: 31.
124 - 1678148736.6711302: Received message: 123. Queue length: 32.
125 - 1678148737.0095282: Received message: 124. Queue length: 33.
128 - 1678148737.345854: Received message: 127. Queue length: 34.
129 - 1678148737.684265: Received message: 128. Queue length: 34.
130 - 1678148738.019279: Received message: 129. Queue length: 35.
131 - 1678148738.356672: Received message: 130. Queue length: 35.
132 - 1678148738.694315: Received message: 131. Queue length: 35.
134 - 1678148739.0292008: Received message: 133. Queue length: 36.
135 - 1678148739.365869: Received message: 134. Queue length: 36.
137 - 1678148739.7043798: Received message: 136. Queue length: 36.
138 - 1678148740.04283: Received message: 137. Queue length: 37.
139 - 1678148740.379464: Received message: 138. Queue length: 37.
140 - 1678148740.717929: Received message: 139. Queue length: 37.
141 - 1678148741.0551538: Received message: 140. Queue length: 36.
143 - 1678148741.393339: Received message: 142. Queue length: 37.
144 - 1678148741.7304: Received message: 143. Queue length: 38.
145 - 1678148742.068767: Received message: 144. Queue length: 38.
146 - 1678148742.4033952: Received message: 145. Queue length: 37.
148 - 1678148742.7392: Received message: 147. Queue length: 37.
149 - 1678148743.077492: Received message: 148. Queue length: 37.
150 - 1678148743.411556: Received message: 149. Queue length: 38.
153 - 1678148743.7460978: Received message: 152. Queue length: 39.
154 - 1678148744.084507: Received message: 153. Queue length: 39.
156 - 1678148744.419326: Received message: 155. Queue length: 40.
157 - 1678148744.756135: Received message: 156. Queue length: 41.
158 - 1678148745.09552: Received message: 157. Queue length: 41.
159 - 1678148745.433901: Received message: 158. Queue length: 42.
160 - 1678148745.769563: Received message: 159. Queue length: 42.
161 - 1678148746.107761: Received message: 160. Queue length: 42.
162 - 1678148746.444318: Received message: 161. Queue length: 43.
163 - 1678148746.7798982: Received message: 162. Queue length: 44.
164 - 1678148747.118413: Received message: 163. Queue length: 44.
165 - 1678148747.455128: Received message: 164. Queue length: 43.
166 - 1678148747.788934: Received message: 165. Queue length: 43.
167 - 1678148748.122946: Received message: 166. Queue length: 42.
168 - 1678148748.4615328: Received message: 167. Queue length: 42.
169 - 1678148748.799878: Received message: 168. Queue length: 43.
170 - 1678148749.136451: Received message: 169. Queue length: 43.
172 - 1678148749.470955: Received message: 171. Queue length: 42.
173 - 1678148749.809356: Received message: 172. Queue length: 41.
174 - 1678148750.145762: Received message: 173. Queue length: 41.
176 - 1678148750.4795468: Received message: 175. Queue length: 41.
178 - 1678148750.817875: Received message: 177. Queue length: 41.
179 - 1678148751.154142: Received message: 178. Queue length: 42.
180 - 1678148751.49256: Received message: 179. Queue length: 43.
182 - 1678148751.827627: Received message: 181. Queue length: 43.
183 - 1678148752.166014: Received message: 182. Queue length: 44.
184 - 1678148752.502657: Received message: 183. Queue length: 44.
185 - 1678148752.839859: Received message: 184. Queue length: 45.
187 - 1678148753.178221: Received message: 186. Queue length: 45.
191 - 1678148753.516617: Received message: 190. Queue length: 46.
192 - 1678148753.852607: Received message: 191. Queue length: 47.
193 - 1678148754.18884: Received message: 192. Queue length: 46.
194 - 1678148754.5264351: Received message: 193. Queue length: 47.
196 - 1678148754.862452: Received message: 195. Queue length: 48.
199 - 1678148755.2008572: Received message: 198. Queue length: 49.
201 - 1678148755.534581: Received message: 200. Queue length: 49.
203 - 1678148755.870911: Received message: 202. Queue length: 49.
204 - 1678148756.209277: Received message: 203. Queue length: 50.
205 - 1678148756.544236: Received message: 204. Queue length: 51.
206 - 1678148756.881849: Received message: 205. Queue length: 52.
208 - 1678148757.220169: Received message: 207. Queue length: 51.
209 - 1678148757.554326: Received message: 208. Queue length: 52.
210 - 1678148757.887722: Received message: 209. Queue length: 53.
211 - 1678148758.22424: Received message: 210. Queue length: 53.
212 - 1678148758.561815: Received message: 211. Queue length: 52.
214 - 1678148758.899122: Received message: 213. Queue length: 52.
215 - 1678148759.2379131: Received message: 214. Queue length: 52.
216 - 1678148759.576315: Received message: 215. Queue length: 53.
217 - 1678148759.9113631: Received message: 216. Queue length: 53.
220 - 1678148760.2461262: Received message: 219. Queue length: 53.
221 - 1678148760.584523: Received message: 220. Queue length: 52.
222 - 1678148760.921108: Received message: 221. Queue length: 53.
223 - 1678148761.2549381: Received message: 222. Queue length: 52.
224 - 1678148761.592921: Received message: 223. Queue length: 52.
225 - 1678148761.931205: Received message: 224. Queue length: 53.
229 - 1678148762.269351: Received message: 228. Queue length: 54.
233 - 1678148762.6069582: Received message: 232. Queue length: 54.
235 - 1678148762.943657: Received message: 234. Queue length: 54.
236 - 1678148763.279967: Received message: 235. Queue length: 55.
238 - 1678148763.615616: Received message: 237. Queue length: 56.
243 - 1678148763.9517372: Received message: 242. Queue length: 57.
245 - 1678148764.2859552: Received message: 244. Queue length: 58.
247 - 1678148764.621925: Received message: 246. Queue length: 59.
249 - 1678148764.9602811: Received message: 248. Queue length: 60.
250 - 1678148765.295626: Received message: 249. Queue length: 60.
251 - 1678148765.6328042: Received message: 250. Queue length: 61.
252 - 1678148765.9693: Received message: 251. Queue length: 62.
254 - 1678148766.304311: Received message: 253. Queue length: 62.
255 - 1678148766.6427178: Received message: 254. Queue length: 61.
256 - 1678148766.978401: Received message: 255. Queue length: 61.
257 - 1678148767.316753: Received message: 256. Queue length: 62.
259 - 1678148767.6542: Received message: 258. Queue length: 63.
260 - 1678148767.992619: Received message: 259. Queue length: 64.
261 - 1678148768.327616: Received message: 260. Queue length: 65.
263 - 1678148768.665985: Received message: 262. Queue length: 65.
264 - 1678148769.0026162: Received message: 263. Queue length: 65.
265 - 1678148769.337683: Received message: 264. Queue length: 65.
266 - 1678148769.675313: Received message: 265. Queue length: 66.
269 - 1678148770.0129678: Received message: 268. Queue length: 66.
270 - 1678148770.346368: Received message: 269. Queue length: 67.
271 - 1678148770.682821: Received message: 270. Queue length: 67.
272 - 1678148771.019352: Received message: 271. Queue length: 68.
273 - 1678148771.355977: Received message: 272. Queue length: 68.
274 - 1678148771.691173: Received message: 273. Queue length: 69.
276 - 1678148772.028299: Received message: 275. Queue length: 69.
277 - 1678148772.362588: Received message: 276. Queue length: 68.
279 - 1678148772.7009459: Received message: 278. Queue length: 69.
280 - 1678148773.035923: Received message: 279. Queue length: 69.
281 - 1678148773.370811: Received message: 280. Queue length: 70.
282 - 1678148773.70662: Received message: 281. Queue length: 71.
283 - 1678148774.0449831: Received message: 282. Queue length: 72.
284 - 1678148774.379207: Received message: 283. Queue length: 72.
287 - 1678148774.714418: Received message: 286. Queue length: 73.
288 - 1678148775.0528178: Received message: 287. Queue length: 73.
289 - 1678148775.387764: Received message: 288. Queue length: 73.
290 - 1678148775.7261388: Received message: 289. Queue length: 73.
291 - 1678148776.064546: Received message: 290. Queue length: 74.
294 - 1678148776.4014652: Received message: 293. Queue length: 74.
296 - 1678148776.737584: Received message: 295. Queue length: 75.
298 - 1678148777.0710132: Received message: 297. Queue length: 76.
299 - 1678148777.409429: Received message: 298. Queue length: 77.
301 - 1678148777.746725: Received message: 300. Queue length: 77.
302 - 1678148778.085523: Received message: 301. Queue length: 76.
306 - 1678148778.423719: Received message: 305. Queue length: 76.
307 - 1678148778.7619112: Received message: 306. Queue length: 76.
311 - 1678148779.0965152: Received message: 310. Queue length: 77.
312 - 1678148779.431836: Received message: 311. Queue length: 77.
313 - 1678148779.7693539: Received message: 312. Queue length: 78.
314 - 1678148780.1032908: Received message: 313. Queue length: 79.
315 - 1678148780.437643: Received message: 314. Queue length: 79.
317 - 1678148780.7728279: Received message: 316. Queue length: 79.
318 - 1678148781.110929: Received message: 317. Queue length: 80.
320 - 1678148781.445921: Received message: 319. Queue length: 81.
321 - 1678148781.7842822: Received message: 320. Queue length: 81.
322 - 1678148782.1227572: Received message: 321. Queue length: 80.
323 - 1678148782.459695: Received message: 322. Queue length: 81.
324 - 1678148782.79585: Received message: 323. Queue length: 82.
325 - 1678148783.1342971: Received message: 324. Queue length: 82.
326 - 1678148783.4692428: Received message: 325. Queue length: 83.
327 - 1678148783.8079271: Received message: 326. Queue length: 83.
328 - 1678148784.141595: Received message: 327. Queue length: 84.
329 - 1678148784.4793: Received message: 328. Queue length: 84.
330 - 1678148784.8161302: Received message: 329. Queue length: 84.
331 - 1678148785.1525602: Received message: 330. Queue length: 85.
332 - 1678148785.490011: Received message: 331. Queue length: 85.
334 - 1678148785.82597: Received message: 333. Queue length: 85.
335 - 1678148786.161296: Received message: 334. Queue length: 85.
336 - 1678148786.4957929: Received message: 335. Queue length: 86.
337 - 1678148786.834035: Received message: 336. Queue length: 87.
339 - 1678148787.1694348: Received message: 338. Queue length: 88.
342 - 1678148787.504144: Received message: 341. Queue length: 87.
344 - 1678148787.837779: Received message: 343. Queue length: 87.
345 - 1678148788.176118: Received message: 344. Queue length: 88.
346 - 1678148788.511433: Received message: 345. Queue length: 89.
347 - 1678148788.845825: Received message: 346. Queue length: 88.
348 - 1678148789.1842182: Received message: 347. Queue length: 87.
349 - 1678148789.519247: Received message: 348. Queue length: 87.
350 - 1678148789.854099: Received message: 349. Queue length: 88.
351 - 1678148790.1933298: Received message: 350. Queue length: 88.
353 - 1678148790.528265: Received message: 352. Queue length: 88.
355 - 1678148790.862704: Received message: 354. Queue length: 89.
356 - 1678148791.201161: Received message: 355. Queue length: 89.
358 - 1678148791.534983: Received message: 357. Queue length: 89.
359 - 1678148791.868829: Received message: 358. Queue length: 89.
360 - 1678148792.2046552: Received message: 359. Queue length: 89.
362 - 1678148792.543078: Received message: 361. Queue length: 88.
363 - 1678148792.87999: Received message: 362. Queue length: 89.
365 - 1678148793.213453: Received message: 364. Queue length: 89.
366 - 1678148793.5518138: Received message: 365. Queue length: 89.
367 - 1678148793.887083: Received message: 366. Queue length: 90.
368 - 1678148794.223582: Received message: 367. Queue length: 91.
370 - 1678148794.557185: Received message: 369. Queue length: 92.
371 - 1678148794.895572: Received message: 370. Queue length: 92.
372 - 1678148795.2339342: Received message: 371. Queue length: 93.
376 - 1678148795.572305: Received message: 375. Queue length: 93.
377 - 1678148795.906763: Received message: 376. Queue length: 93.
379 - 1678148796.244164: Received message: 378. Queue length: 58176.
380 - 1678148796.579962: Received message: 379. Queue length: 434394.
381 - 1678148796.9183202: Received message: 380. Queue length: 825038.
382 - 1678148797.2566772: Received message: 381. Queue length: 1187522.
383 - 1678148797.595111: Received message: 382. Queue length: 1476750.
384 - 1678148797.9315982: Received message: 383. Queue length: 1755778.
385 - 1678148798.269152: Received message: 384. Queue length: 2043204.
